Year,Month,Date,Currency,VS 1USD,Inverse 1USD
2024,09,01,Argentine Peso,950.500019,0.001052
2024,09,01,Australian Dollar,1.478437,0.676390
2024,09,01,Bahraini Dinar,0.376000,2.659574
2024,09,01,Botswana Pula,13.252347,0.075458
2024,09,01,Brazilian Real,5.612221,0.178183
2024,09,01,Bruneian Dollar,1.306650,0.765316
2024,09,01,Bulgarian Lev,1.768156,0.565561
2024,09,01,Canadian Dollar,1.349214,0.741172
2024,09,01,Chilean Peso,913.198538,0.001095
2024,09,01,Chinese Yuan Renminbi,7.090127,0.141041
2024,09,01,Colombian Peso,4177.858115,0.000239
2024,09,01,Czech Koruna,22.655302,0.044140
2024,09,01,Danish Krone,6.751409,0.148117
2024,09,01,Euro,0.904044,1.106141
2024,09,01,Hong Kong Dollar,7.797481,0.128247
2024,09,01,Hungarian Forint,355.530626,0.002813
2024,09,01,Icelandic Krona,137.911456,0.007251
2024,09,01,Indian Rupee,83.896933,0.011919
2024,09,01,Indonesian Rupiah,15442.496474,0.000065
2024,09,01,Iranian Rial,42002.630712,0.000024
2024,09,01,Israeli Shekel,3.631810,0.275345
2024,09,01,Japanese Yen,146.196668,0.006840
2024,09,01,Kazakhstani Tenge,481.457687,0.002077
2024,09,01,South Korean Won,1336.943734,0.000748
2024,09,01,Kuwaiti Dinar,0.306298,3.264791
2024,09,01,Libyan Dinar,4.759300,0.210115
2024,09,01,Malaysian Ringgit,4.319925,0.231486
2024,09,01,Mauritian Rupee,46.529279,0.021492
2024,09,01,Mexican Peso,19.724736,0.050698
2024,09,01,Nepalese Rupee,134.298016,0.007446
2024,09,01,New Zealand Dollar,1.600150,0.624942
2024,09,01,Norwegian Krone,10.551910,0.094770
2024,09,01,Omani Rial,0.385047,2.597089
2024,09,01,Pakistani Rupee,278.469486,0.003591
2024,09,01,Philippine Peso,56.239144,0.017781
2024,09,01,Polish Zloty,3.875499,0.258031
2024,09,01,Qatari Riyal,3.640000,0.274725
2024,09,01,Romanian New Leu,4.503894,0.222030
2024,09,01,Russian Ruble,90.672542,0.011029
2024,09,01,Saudi Arabian Riyal,3.750000,0.266667
2024,09,01,Singapore Dollar,1.306650,0.765316
2024,09,01,South African Rand,17.823041,0.056107
2024,09,01,Sri Lankan Rupee,299.190091,0.003342
2024,09,01,Swedish Krona,10.302826,0.097061
2024,09,01,Swiss Franc,0.850077,1.176364
2024,09,01,Taiwan New Dollar,32.043044,0.031208
2024,09,01,Thai Baht,33.941766,0.029462
2024,09,01,Trinidadian Dollar,6.754937,0.148040
2024,09,01,Turkish Lira,34.072045,0.029350
2024,09,01,Emirati Dirham,3.672500,0.272294
2024,09,01,British Pound,0.761587,1.313047
2024,09,02,Argentine Peso,952.228628,0.001050
2024,09,02,Australian Dollar,1.477419,0.676856
2024,09,02,Bahraini Dinar,0.376000,2.659574
2024,09,02,Botswana Pula,13.262016,0.075403
2024,09,02,Brazilian Real,5.610536,0.178236
2024,09,02,Bruneian Dollar,1.306060,0.765662
2024,09,02,Bulgarian Lev,1.770767,0.564727
2024,09,02,Canadian Dollar,1.349073,0.741250
2024,09,02,Chilean Peso,913.656182,0.001095
2024,09,02,Chinese Yuan Renminbi,7.090117,0.141041
2024,09,02,Colombian Peso,4183.714701,0.000239
2024,09,02,Czech Koruna,22.669301,0.044113
2024,09,02,Danish Krone,6.752968,0.148083
2024,09,02,Euro,0.905379,1.104510
2024,09,02,Hong Kong Dollar,7.797972,0.128238
2024,09,02,Hungarian Forint,355.629488,0.002812
2024,09,02,Icelandic Krona,138.431572,0.007224
2024,09,02,Indian Rupee,83.849983,0.011926
2024,09,02,Indonesian Rupiah,15500.460557,0.000065
2024,09,02,Iranian Rial,42146.851916,0.000024
2024,09,02,Israeli Shekel,3.639618,0.274754
2024,09,02,Japanese Yen,146.394758,0.006831
2024,09,02,Kazakhstani Tenge,481.602756,0.002076
2024,09,02,South Korean Won,1337.078957,0.000748
2024,09,02,Kuwaiti Dinar,0.305927,3.268752
2024,09,02,Libyan Dinar,4.765342,0.209849
2024,09,02,Malaysian Ringgit,4.323190,0.231311
2024,09,02,Mauritian Rupee,46.462047,0.021523
2024,09,02,Mexican Peso,19.715463,0.050722
2024,09,02,Nepalese Rupee,134.222861,0.007450
2024,09,02,New Zealand Dollar,1.600859,0.624665
2024,09,02,Norwegian Krone,10.607415,0.094274
2024,09,02,Omani Rial,0.384987,2.597489
2024,09,02,Pakistani Rupee,278.539499,0.003590
