Title,Story Title,Release Date,Link
Daredevil #-1,"""A Time to Say Farewell""","July 2, 1997",https://marvel.fandom.com/wiki/Daredevil_Vol_1_-1
Daredevil #1,"""The Origin of Daredevil""","February 4, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_1
Daredevil #2,"""The Evil Menace of Electro!""","April 2, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_2
Daredevil #3,"""The Owl, Ominous Overlord of Crime!""","June 2, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_3
Daredevil #4,"""Killgrave, the Unbelievable Purple Man!""","August 4, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_4
Daredevil #5,"""The Mysterious Masked Matador!""","October 1, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_5
Daredevil #6,"""Trapped by... the Fellowship of Fear!""","December 3, 1964",https://marvel.fandom.com/wiki/Daredevil_Vol_1_6
Daredevil #7,"""In Mortal Combat with... Sub-Mariner!""","February 4, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_7
Daredevil #8,"""The Stiltman Cometh!""","April 1, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_8
Daredevil #9,"""That He May See!""","June 1, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_9
Daredevil #10,"""While the City Sleeps!""","August 3, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_10
Daredevil #11,"""A Time to Unmask!""","October 5, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_11
Daredevil #12,"""Sightless, in a Savage Land!""","November 4, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_12
Daredevil #13,"""The Secret of Ka-Zar's Origin!""","December 2, 1965",https://marvel.fandom.com/wiki/Daredevil_Vol_1_13
Daredevil #14,"""If This Be Justice...!""","January 4, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_14
Daredevil #15,""" --And Men Shall Call Him... Ox!""","February 3, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_15
Daredevil #16,"""Enter...Spider-Man""","March 3, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_16
Daredevil #17,"""None are So Blind..!""","April 5, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_17
Daredevil #18,"""There Shall Come a Gladiator!""","May 3, 1966",https://marvel.fandom.com/wiki/Daredevil_Vol_1_18
